internship_title,company_name,location,start_date,duration,stipend,required_skills
Social Media Marketing,India FinTech Forum,Mumbai,Immediately,6 Months,"₹ 8,000-10,000 /month","Analytics, Communication, Community Outreach, Content Creation, Digital Marketing, Project Management, SEO, Teamwork, Time Management"
Business Development (sales) Real Estate,SEVENROW PROJECTS PRIVATE LIMITED,Hyderabad,Immediately,6 Months,"₹ 5,000 /month +  Incentives","CRM, CSS, Communication, Git, HTML, JavaScript, Lead Generation, Responsive Design, Sales Strategy, Teamwork, Time Management"
Recruitment,Shiva Consultancy Services,Work From Home,Immediately,6 Months,"₹ 5,000 /month","Teamwork, Time Management"
Marketing Communications,Raised Lines Foundation,Work From Home,Immediately,6 Months,"₹ 8,000-10,000 /month","Analytics, Communication, Content Creation, Digital Marketing, SEO, Teamwork, Time Management"
Digital Marketing,Outlook Publishing India Private Limited,Delhi,Immediately,6 Months,"₹ 5,000 /month","Analytics, Communication, Content Creation, Digital Marketing, SEO, Teamwork, Time Management"
Information Technology,TCM Services Private Limited,Navi Mumbai,Immediately,6 Months,"₹ 5,000 /month","Teamwork, Time Management"
Graphic Design,AstroLiv.com,Noida,Immediately,6 Months,"₹ 5,000-7,000 /month","Teamwork, Time Management"
HR Consultant,YTPS HR India,Pune,Immediately,6 Months,"₹ 5,000 /month","Teamwork, Time Management"
Talent Acquisition,Envisage Global Solutions,Work From Home,Immediately,6 Months,"₹ 3,000 /month +  Incentives","Teamwork, Time Management"
Digital Marketing,LevelFive Software Solutions,Chennai,Immediately,6 Months,"₹ 7,000 /month","Analytics, Communication, Content Creation, Digital Marketing, SEO, Teamwork, Time Management"
Photography,PRISM LENS,Gurgaon,Immediately,6 Months,"₹ 10,000 /month","Adobe Premiere Pro, Creativity, Photography, Teamwork, Time Management, Video Editing"
Supply Chain Management And Sourcing,Neuherbs,Greater Noida,Immediately,6 Months,"₹ 7,000 /month","Data Preprocessing, Machine Learning, Python, Scikit-learn, Teamwork, Time Management"
Video Making/Editing,Video Marvels,Work From Home,Immediately,6 Months,"₹ 3,000 /month","Adobe Premiere Pro, Creativity, Photography, Teamwork, Time Management, Video Editing"
Digital Marketing,WeeTaaN Digital Consultancy,Pune,Immediately,6 Months,"₹ 2,000 /month +  Incentives","Analytics, Communication, Content Creation, Digital Marketing, SEO, Teamwork, Time Management"
Sales - Fitness And Training Consultancy,A2G LIFECARE INDIA PRIVATE LIMITED,Work From Home,Immediately,6 Months,"₹ 6,000 /month +  Incentives","CRM, Communication, Data Preprocessing, Lead Generation, Machine Learning, Python, Sales Strategy, Scikit-learn, Teamwork, Time Management"
Digital Marketing,Proformics Digitech,Gurgaon,Immediately,6 Months,"₹ 15,000 /month","Analytics, Communication, Content Creation, Digital Marketing, SEO, Teamwork, Time Management"
SEO Blogging,Calm Sleep,Work From Home,Immediately,6 Months,"₹ 5,000 /month","Teamwork, Time Management"
Artist Management,Defodio Digital,Mumbai,Immediately,6 Months,"₹ 10,000-15,000 /month","Teamwork, Time Management"
Clothing Design,Funky Unicorn Enterprises,Work From Home,Immediately,6 Months,"₹ 2,000 /month","Teamwork, Time Management"
YouTube Content Creation,BlockSurvey Private Limited,Work From Home,Immediately,6 Months,"₹ 15,000 /month","Teamwork, Time Management"
Motion Graphics,Scalenow Technosolutions Private Limited,Howrah,Immediately,6 Months,"₹ 12,000 /month","Teamwork, Time Management"
Recruitment,VERSE INNOVATION Private Limited FOR DAILYHUNT,Bangalore,Immediately,6 Months,"₹ 10,000 /month","Teamwork, Time Management"
Securities And Asset Analysis,Krannich Solar Private Limited,Pune,Immediately,6 Months,"₹ 5,000 /month","Teamwork, Time Management"
Business Development (Sales),Poodles Petcare,Jaipur,Immediately,6 Months,"₹ 2,500 /month","CRM, CSS, Communication, Git, HTML, JavaScript, Lead Generation, Responsive Design, Sales Strategy, Teamwork, Time Management"
Business Development - IT Sales,VirtuBox Infotech Private Limited,Noida,Immediately,6 Months,"₹ 10,000 /month","CRM, CSS, Communication, Git, HTML, JavaScript, Lead Generation, Responsive Design, Sales Strategy, Teamwork, Time Management"
Search Engine Optimization (SEO),AnExtraRep,Work From Home,Immediately,6 Months,"₹ 5,000 /month","Teamwork, Time Management"
Content Writing,Prachyam,Pune,Immediately,3 Months,"₹ 10,000 /month","Teamwork, Time Management"
Customer Onboarding And Training,RealEvo Datatek Pvt Ltd,Bangalore,Immediately,3 Months,"₹ 15,000 /month","Data Preprocessing, Machine Learning, Python, Scikit-learn, Teamwork, Time Management"
Law/Legal,Advocate Manisha Singh (Tomar),Gurgaon,Immediately,3 Months,"₹ 3,000-5,000 /month","Teamwork, Time Management"
Digital Marketing,Dr Smart,Secunderabad,Immediately,3 Months,"₹ 10,000 /month","Analytics, Communication, Content Creation, Digital Marketing, SEO, Teamwork, Time Management"
Program Coordination,Pragati Software Private Limited,Delhi,Immediately,3 Months,"₹ 5,000-9,000 /week","Teamwork, Time Management"
Digital Marketing & Content Creation,MAMI WATA AYURVEDA,Work From Home,Immediately,3 Months,"₹ 5,000 /month","Analytics, Communication, Content Creation, Digital Marketing, SEO, Teamwork, Time Management"
Subject Matter Expert (Physics/Chemistry/Statistics),MAD EDUCATORS,Work From Home,Immediately,3 Months,"₹ 14,000-17,000 /month","Teamwork, Time Management"
Search Engine Optimization (SEO),The Concept Co.,Mumbai,Immediately,3 Months,"₹ 7,000 /month","Teamwork, Time Management"
Logistics And Operations,Ekostay LLP,Mumbai,Immediately,3 Months,"₹ 14,000 /month","Teamwork, Time Management"
PCB Designing,Atlanta Systems Private Limited,Delhi,Immediately,3 Months,"₹ 15,000-25,000 /month","Teamwork, Time Management"
Illustration,Pocketsize Doodles,Work From Home,Immediately,3 Months,"₹ 5,000 /month +  Incentives","Teamwork, Time Management"
Equity Research Analysis,Scan Holdings Private Limited,Delhi,Immediately,3 Months,"₹ 6,000 /month +  Incentives","Teamwork, Time Management"
Environment Design (Unreal Engine 5),MB Softech Consultants,Work From Home,Immediately,3 Months,"₹ 5,000-20,000 /month","Teamwork, Time Management"
Game Design (Unreal Engine 5),MB Softech Consultants,Work From Home,Immediately,3 Months,"₹ 5,000-15,000 /month","Teamwork, Time Management"
3D Modelling & Texturing For Game Asset (Blender/Maya/Substance Painter),MB Softech Consultants,Work From Home,Immediately,3 Months,"₹ 5,000-20,000 /month","Data Preprocessing, Machine Learning, Python, Scikit-learn, Teamwork, Time Management"
Social Media Management,Artist Root,Mumbai,Immediately,3 Months,"₹ 10,000 /month","Communication, Community Outreach, Project Management, Teamwork, Time Management"
"News Anchoring( Tech, Politics, Health, Career)(YouTube - Hindi)",NewsyBird Media,Work From Home,Immediately,3 Months,"₹ 1,000 /month","Teamwork, Time Management"
Video Making/Editing,Digital Health Startup,Work From Home,Immediately,3 Months,"₹ 5,000 /month +  Incentives","Adobe Premiere Pro, Creativity, Photography, Teamwork, Time Management, Video Editing"
Graphic Design,SETREONA PRIVATE LIMITED,Ahmedabad,Immediately,3 Months,"₹ 2,000 /month","Teamwork, Time Management"
Volunteer Community Moderation,"Wiyld Global MediaTech (Dubai, United Arab Emirates)",Work From Home,Immediately,3 Months,"₹ 2,000 /month +  Incentives","Teamwork, Time Management"
Marketing,YoursthatSenior,Work From Home,Immediately,3 Months,"₹ 1,000 /month +  Incentives","Analytics, Communication, Content Creation, Digital Marketing, SEO, Teamwork, Time Management"
Content Creation (Machine Learning And Data Science),Quizzy,Work From Home,Immediately,3 Months,"₹ 8,000-10,000 /month","Data Preprocessing, Data Visualization, Excel, Machine Learning, NumPy, Pandas, Python, SQL, Scikit-learn, Teamwork, Time Management"
Artificial Intelligence (AI),Triluxo Technologies Private Limited,Work From Home,Immediately,3 Months,"₹ 2,000-3,000 /month","Data Preprocessing, Machine Learning, Python, Scikit-learn, Teamwork, Time Management"
Market Research,Joy Of Performing,South,Immediately,3 Months,"₹ 7,000-10,000 /month","Teamwork, Time Management"
Graphic Design,Digital Health Startup,Work From Home,Immediately,3 Months,"₹ 5,000 /month +  Incentives","Teamwork, Time Management"
Research And Development,N K Proteins,Ahmedabad,Immediately,3 Months,"₹ 5,000 /month +  Incentives","CSS, Git, HTML, JavaScript, Responsive Design, Teamwork, Time Management"
Medical/Health Writing,Digital Health Startup,Work From Home,Immediately,3 Months,"₹ 5,000 /month +  Incentives","Teamwork, Time Management"
Social Media Content Creation,Digital Health Startup,Work From Home,Immediately,3 Months,"₹ 5,000 /month +  Incentives","Communication, Community Outreach, Project Management, Teamwork, Time Management"
Content Writing - Education,Maharishi School,Work From Home,Immediately,3 Months,"₹ 20,000 /month","Teamwork, Time Management"
Full Stack Development,"EmendoAI (San Francisco, United States)",Work From Home,Immediately,3 Months,"₹ 10,000 /month","CSS, Git, HTML, JavaScript, Responsive Design, Teamwork, Time Management"
HR,TopTrove Foundation,Work From Home,Immediately,3 Months,Unpaid,"Teamwork, Time Management"
Social Media Content Creation,The Foreign Language Institute,Work From Home,Immediately,3 Months,"₹ 1,500 /month","Communication, Community Outreach, Project Management, Teamwork, Time Management"
Social Media Marketing,The Pegboard,Mumbai,Immediately,3 Months,"₹ 17,000-23,000 /month","Analytics, Communication, Community Outreach, Content Creation, Digital Marketing, Project Management, SEO, Teamwork, Time Management"
Graphic Design,AAISTA Technologies Pvt Ltd,Work From Home,Immediately,3 Months,"₹ 5,000-10,000 /month","Teamwork, Time Management"
Human Resources (HR),Captain $ales,Gurgaon,Immediately,3 Months,"₹ 2,500 /month +  Incentives","Teamwork, Time Management"
Human Resources (HR),Stalwart People Co (SPC),Greater Noida,Immediately,3 Months,"₹ 4,000-5,000 /month","Teamwork, Time Management"
Social Media Marketing And Graphic Design,Brandquest,Work From Home,Immediately,3 Months,"₹ 7,000 /month","Analytics, Communication, Community Outreach, Content Creation, Digital Marketing, Project Management, SEO, Teamwork, Time Management"
Telecalling,Renewsys India Pvt Ltd,Mumbai,Immediately,3 Months,"₹ 5,000 /month","Teamwork, Time Management"
Virtual Charity Drive,Pawzz,Work From Home,Immediately,3 Months,"₹ 1,500-10,000 lump sum","Teamwork, Time Management"
Social Impact,Pawzz,Work From Home,Immediately,3 Months,"₹ 1,500-10,000 lump sum","Communication, Community Outreach, Project Management, Teamwork, Time Management"
Travel And Tourism,Ludo Ventures Private Limited,Noida,Immediately,3 Months,"₹ 5,000 /month","Teamwork, Time Management"
React Native,Argyle Enigma Tech Labs Private Limited,Work From Home,Immediately,3 Months,"₹ 2,500 /month +  Incentives","Teamwork, Time Management"
Campaign Support,Pawzz,Work From Home,Immediately,3 Months,"₹ 1,500-10,000 lump sum","Data Preprocessing, Machine Learning, Python, Scikit-learn, Teamwork, Time Management"
Fundraising,Pawzz,Work From Home,Immediately,3 Months,"₹ 1,500-10,000 lump sum","Data Preprocessing, Machine Learning, Python, Scikit-learn, Teamwork, Time Management"
Youth Connective,Pawzz,Work From Home,Immediately,3 Months,"₹ 1,500-7,000 lump sum","Teamwork, Time Management"
Graphic Concept Artificial Intelligence (AI),MB Softech Consultants,Work From Home,Immediately,3 Months,"₹ 5,000-15,000 /month","Data Preprocessing, Machine Learning, Python, Scikit-learn, Teamwork, Time Management"
Admissions Advisor,Whistling Woods International,Mumbai,Immediately,3 Months,"₹ 15,000-25,000 /month","Teamwork, Time Management"
Content Writing And Social Media,Priyanshi  Agrawal,Ahmedabad,Immediately,3 Months,"₹ 5,000 /month +  Incentives","Communication, Community Outreach, Project Management, Teamwork, Time Management"
Gaming Illustration,MB Softech Consultants,Work From Home,Immediately,3 Months,"₹ 5,000-20,000 /month","Teamwork, Time Management"
Motion Graphics,Tyfno,Work From Home,Immediately,3 Months,"₹ 3,000-8,000 /month","Teamwork, Time Management"
Digital Marketing and Content Writing,OyeLabs,Work From Home,Immediately,3 Months,"₹ 5,000-10,000 /month","Analytics, Communication, Content Creation, Digital Marketing, SEO, Teamwork, Time Management"
3D Animation And VFX Unreal Engine,MB Softech Consultants,Work From Home,Immediately,3 Months,"₹ 7,500-20,000 /month","Teamwork, Time Management"
Sales And Business Development,Travokarma,Work From Home,Immediately,3 Months,"₹ 5,000 /month +  Incentives","CRM, CSS, Communication, Git, HTML, JavaScript, Lead Generation, Responsive Design, Sales Strategy, Teamwork, Time Management"
PHP Web Development,Monk Minds Hub (Group Of Sai Kasthuri Industries),Bangalore,Immediately,3 Months,"₹ 10,000-18,000 /month","CSS, Git, HTML, JavaScript, Responsive Design, Teamwork, Time Management"
UI/UX Design,Travokarma,Work From Home,Immediately,3 Months,"₹ 10,000-15,000 /month","Teamwork, Time Management"
Management (Entrepreneurship),Travokarma,Work From Home,Immediately,3 Months,"₹ 5,000-10,000 /month","Teamwork, Time Management"
Literature & Aesthetics Fellowship,DeepThought Edutech Ventures Private Limited,Work From Home,Immediately,3 Months,"₹ 2,000 /month","Teamwork, Time Management"
Business Management,Rashmi Beauty Studio And Family Salon,Dombivli,Immediately,3 Months,"₹ 5,000 /month","Teamwork, Time Management"
Data Science,DeepThought Edutech Ventures Private Limited,Work From Home,Immediately,3 Months,"₹ 2,000 /month","Data Visualization, Excel, NumPy, Pandas, Python, SQL, Teamwork, Time Management"
Corporate Finance,DeepThought Edutech Ventures Private Limited,Work From Home,Immediately,3 Months,"₹ 2,000 /month","Accounting Basics, Excel, Financial Analysis, Tally, Teamwork, Time Management"
Customer Delight,ElectricPe,Bangalore,Immediately,3 Months,"₹ 15,000 /month","Teamwork, Time Management"
Human Resources (HR),Kalpas Innovations Private Limited,Work From Home,Immediately,3 Months,"₹ 7,000 /month","Teamwork, Time Management"
HR,Marathon Group,Mumbai,Immediately,3 Months,"₹ 7,000 /month","Teamwork, Time Management"
Graphic Design,Youngun India,Work From Home,Immediately,3 Months,"₹ 10,000 /month","Teamwork, Time Management"
Business Development (Sales),Break The Code,Work From Home,Immediately,3 Months,"₹ 5,000 /month","CRM, CSS, Communication, Git, HTML, JavaScript, Lead Generation, Responsive Design, Sales Strategy, Teamwork, Time Management"
Pre-Sales Operations,Vananam Rewards Private Limited,Bangalore,Immediately,3 Months,"₹ 8,000 /month","CRM, Communication, Lead Generation, Sales Strategy, Teamwork, Time Management"
Digital Marketing,Careervira,Work From Home,Immediately,3 Months,"₹ 1,000-5,000 /month","Analytics, Communication, Content Creation, Digital Marketing, SEO, Teamwork, Time Management"
Full Stack Development,Go Digital Technology Consulting,Mumbai,Immediately,3 Months,"₹ 15,000 /month","CSS, Git, HTML, JavaScript, Responsive Design, Teamwork, Time Management"
Human Resources (HR),Fuerte Developers,Gurgaon,Immediately,3 Months,"₹ 2,000 /month","Teamwork, Time Management"
Human Resources (HR),Research And Ranking,Mumbai,Immediately,3 Months,"₹ 5,000 /month","Teamwork, Time Management"
Backend Development,ChangeJar Technologies Private Limited,Bangalore,Immediately,3 Months,"₹ 25,000 /month","CSS, Git, HTML, JavaScript, Responsive Design, Teamwork, Time Management"
Business Development (Sales),Girish Jain Proptech Private Limited,Noida,Immediately,3 Months,"₹ 3,000 /month +  Incentives","CRM, CSS, Communication, Git, HTML, JavaScript, Lead Generation, Responsive Design, Sales Strategy, Teamwork, Time Management"
Business Development,ToyCel Enterprises Private Limited,Bangalore,Immediately,3 Months,"₹ 8,000-15,000 /month","CSS, Git, HTML, JavaScript, Responsive Design, Teamwork, Time Management"
Subject Matter Expert (SME) Bengali Medium,Guidofie,Work From Home,Immediately,3 Months,"₹ 10,000 /month +  Incentives","Teamwork, Time Management"
Email Marketing,Confluencr,Bangalore,Immediately,3 Months,"₹ 12,000 /month","Analytics, Communication, Content Creation, Data Preprocessing, Digital Marketing, Machine Learning, Python, SEO, Scikit-learn, Teamwork, Time Management"
I.T. Service Automation Coordination,"Techtronics (Miami, United States)",Work From Home,Immediately,3 Months,$ 200 /month,"Teamwork, Time Management"
Competitive Analysis,Top Talent Bridge,Work From Home,Immediately,3 Months,"₹ 5,000 /month","Teamwork, Time Management"
Market Analysis,Top Talent Bridge,Work From Home,Immediately,3 Months,"₹ 5,000 /month","Teamwork, Time Management"
Operations Management,Explified,Work From Home,Immediately,3 Months,"₹ 10,000-15,000 /month","Teamwork, Time Management"
GIS Analysis,Jambudweep Shodh Kendra,Delhi,Immediately,3 Months,"₹ 5,000-20,000 /month","Teamwork, Time Management"
Shopify Web Development,Global Trend,Work From Home,Immediately,3 Months,"₹ 7,000 /month","CSS, Git, HTML, JavaScript, Responsive Design, Teamwork, Time Management"
Event Management,Chris Lopes,Mumbai,Immediately,3 Months,"₹ 5,000 /month","Teamwork, Time Management"
Human Resources (HR),Slaughter & Fox,Work From Home,Immediately,3 Months,"₹ 8,000-20,000 /month","Teamwork, Time Management"
Graphic Design,S M Euphony,Mumbai,Immediately,3 Months,"₹ 5,000-10,000 /month","Teamwork, Time Management"
Front End Development,Digital Guruji,Work From Home,Immediately,3 Months,"₹ 5,000 /month","CSS, Git, HTML, JavaScript, Responsive Design, Teamwork, Time Management"
Digital Marketing (Sports),Da Silva International,Work From Home,Immediately,3 Months,"₹ 5,000-7,500 /month","Analytics, Communication, Content Creation, Digital Marketing, SEO, Teamwork, Time Management"
Supply Chain & Logistics Operations,Snoh Technologies,Kota,Immediately,3 Months,"₹ 2,000-5,000 /month","Data Preprocessing, Machine Learning, Python, Scikit-learn, Teamwork, Time Management"
Graphic Design,DeMasters Creative Studio,Nagpur,Immediately,3 Months,"₹ 5,000 /month","Teamwork, Time Management"
Content Writing,Digital Guruji,Work From Home,Immediately,3 Months,"₹ 2,500 /month","Teamwork, Time Management"
Digital Marketing,Make My Business Online,Delhi,Immediately,3 Months,"₹ 7,500-15,000 /month","Analytics, Communication, Content Creation, Digital Marketing, SEO, Teamwork, Time Management"
Web Development,Bitpastel,Kolkata,Immediately,3 Months,"₹ 12,000 /month","CSS, Git, HTML, JavaScript, Responsive Design, Teamwork, Time Management"
Graphic Design,FliqaIndia Private Limited,Kolkata,Immediately,3 Months,"₹ 5,000-15,000 /month","Teamwork, Time Management"
Business Development (Sales),Shubh Labh International Pvt Ltd,Delhi,Immediately,3 Months,"₹ 8,000-10,000 /month","CRM, CSS, Communication, Git, HTML, JavaScript, Lead Generation, Responsive Design, Sales Strategy, Teamwork, Time Management"
Mechanical Engineering,3D Printzkart,Mangaluru,Immediately,3 Months,"₹ 5,000-10,000 /month","Teamwork, Time Management"
Subject Matter Expert (Sanskrit),Gyanodya Sikhshan Sansthan,Work From Home,Immediately,3 Months,"₹ 2,000 /month","Teamwork, Time Management"
Strategic Partnerships,Sanatan Shastra Avam Sanskriti Protsahak Sansthan,Work From Home,Immediately,3 Months,Unpaid,"Teamwork, Time Management"
SEO,Enshine Services Private Limited,Noida,Immediately,3 Months,"₹ 5,000 /month +  Incentives","Teamwork, Time Management"
Video Making/Editing,Jaikrit Marketing And Branding Solutions LLP,Palghar,Immediately,3 Months,"₹ 5,000-12,000 /month","Adobe Premiere Pro, Creativity, Photography, Teamwork, Time Management, Video Editing"
Marketing,Vitrina AI,Work From Home,Immediately,3 Months,"₹ 8,000 /month","Analytics, Communication, Content Creation, Digital Marketing, SEO, Teamwork, Time Management"
Social Media Marketing,Indian School Of Image Management,Mumbai,Immediately,3 Months,"₹ 10,000 /month","Analytics, Communication, Community Outreach, Content Creation, Digital Marketing, Project Management, SEO, Teamwork, Time Management"
Business Development (Sales),Bombay Powerco Private Limited,Mumbai,Immediately,3 Months,"₹ 5,000-9,000 /month","CRM, CSS, Communication, Git, HTML, JavaScript, Lead Generation, Responsive Design, Sales Strategy, Teamwork, Time Management"
Operations,Easygrocer,Work From Home,Immediately,3 Months,"₹ 1,000 /month","Teamwork, Time Management"
HR,Primathon,Gurgaon,Immediately,3 Months,"₹ 7,000 /month","Teamwork, Time Management"
Marketing Operations,Indarka Energy Private Limited,Bangalore,Immediately,3 Months,"₹ 15,000 /month","Analytics, Communication, Content Creation, Digital Marketing, SEO, Teamwork, Time Management"
Video Editing And Content Creation,Techvile,Work From Home,Immediately,3 Months,"₹ 4,000-10,000 /month","Adobe Premiere Pro, Creativity, Photography, Teamwork, Time Management, Video Editing"
Fashion Design,Abkasa Designer Apparels Private Limited,Ghaziabad,Immediately,3 Months,"₹ 15,000 /month","Teamwork, Time Management"
Academic Counseling,Academor,Bangalore,Immediately,3 Months,"₹ 15,000 /month","Teamwork, Time Management"
Human Resources (HR),Eco-Habitat Foundation,Work From Home,Immediately,3 Months,Unpaid,"Teamwork, Time Management"
Business Development,Membrane Studios,Virar,Immediately,3 Months,"₹ 2,000 /month +  Incentives","CSS, Git, HTML, JavaScript, Responsive Design, Teamwork, Time Management"
Business Development Executive (Carbon Markets),Triumph Sustainability Private Limited,Indore,Immediately,3 Months,"₹ 10,000 /month +  Incentives","CSS, Git, HTML, JavaScript, Responsive Design, Teamwork, Time Management"
Equity Research,Business Quant,Work From Home,Immediately,3 Months,"₹ 3,000 /month","Teamwork, Time Management"
Graphic Design,M4A Designs Private Limited,Jaipur,Immediately,3 Months,"₹ 7,000 /month","Teamwork, Time Management"
Annotation,Prashiv Learning And Marketing Services,Work From Home,Immediately,3 Months,"₹ 8,500 /month","Teamwork, Time Management"
Graphic Design,GAMSYS Tech Private Limited,Navi Mumbai,Immediately,3 Months,"₹ 5,000-10,000 /month","Teamwork, Time Management"
Brand Design & Illustration,GoodShelf,Work From Home,Immediately,3 Months,"₹ 15,000 /month","Teamwork, Time Management"
Mechanical Engineering,Brahm Works Private Limited,Bangalore,Immediately,3 Months,"₹ 8,000-10,000 /month","Teamwork, Time Management"
Influencer Marketing,RVCJ Digital Media Private Limited,Mumbai,Immediately,3 Months,"₹ 10,000 /month","Analytics, Communication, Content Creation, Digital Marketing, SEO, Teamwork, Time Management"
Graphic Design,Evogue Media LLP,Kurukshetra,Immediately,3 Months,"₹ 10,000 /month","Teamwork, Time Management"
Android App Development,TestRight Nanosystems,Noida,Immediately,3 Months,"₹ 10,000 /month","CSS, Git, HTML, JavaScript, Responsive Design, Teamwork, Time Management"
Business Development Analyst (Marketing),SSS Technologies,Bhopal,Immediately,3 Months,"₹ 8,000 /month +  Incentives","Analytics, CSS, Communication, Content Creation, Digital Marketing, Git, HTML, JavaScript, Responsive Design, SEO, Teamwork, Time Management"
Operations & Research,Finance Lookup Advisors,Jaipur,Immediately,6 Months,"₹ 7,500 /month","Teamwork, Time Management"
Digital Marketing,Wheelsbingo.com,Noida,Immediately,6 Months,"₹ 4,000 /month","Analytics, Communication, Content Creation, Digital Marketing, SEO, Teamwork, Time Management"
Human Resources (HR),UFaber Edutech,Mumbai,Immediately,6 Months,"₹ 10,000-15,000 /month","Teamwork, Time Management"
Customer Care,Foundation For Reproductive Health Services India,Jaipur,Immediately,6 Months,"₹ 7,000 /month","Teamwork, Time Management"
Content Writing,Performship.com,Noida,Immediately,6 Months,"₹ 4,000 /month","Teamwork, Time Management"
Founders Office - Organization,BRYT BAZAAR,Bangalore,Immediately,6 Months,"₹ 10,000 /month +  Incentives","Teamwork, Time Management"
Design And Visuals,Viral Vibes,Work From Home,Immediately,6 Months,"₹ 10,000 /month","Teamwork, Time Management"
Content Writing,Ubuntu Ideas Private Limited,Mumbai,Immediately,6 Months,"₹ 5,000 /month","Teamwork, Time Management"
UI/UX Design,Leapflo,Bangalore,Immediately,6 Months,"₹ 10,000-15,000 /month","Teamwork, Time Management"
Flutter Development,Setoo Solutions Private Limited,Pune,Immediately,6 Months,"₹ 5,000 /month","CSS, Git, HTML, JavaScript, Responsive Design, Teamwork, Time Management"
Digital Marketing,Osumare,Pune,Immediately,6 Months,"₹ 7,000 /month","Analytics, Communication, Content Creation, Digital Marketing, SEO, Teamwork, Time Management"
Accounting & Tally,Kailadevi Corporate Services,Noida,Immediately,6 Months,"₹ 2,000 /month +  Incentives","Accounting Basics, Excel, Financial Analysis, Tally, Teamwork, Time Management"
Content Writing,Mohit Mishra,Work From Home,Immediately,6 Months,"₹ 3,000 /month","Teamwork, Time Management"
Business Development (Sales),Neo Narratives,Work From Home,Immediately,6 Months,"₹ 4,000 /month","CRM, CSS, Communication, Git, HTML, JavaScript, Lead Generation, Responsive Design, Sales Strategy, Teamwork, Time Management"
Digital Marketing,Anyka Jewels,Work From Home,Immediately,6 Months,"₹ 1,000-3,000 /month","Analytics, Communication, Content Creation, Digital Marketing, SEO, Teamwork, Time Management"
"Marketing, Content & E-Commerce Management",The Art Connect,Bangalore,Immediately,6 Months,"₹ 8,000 /month","Analytics, Communication, Content Creation, Digital Marketing, SEO, Teamwork, Time Management"
Social Media Marketing,Sun Jewellery,Mumbai,Immediately,6 Months,"₹ 10,000 /month","Analytics, Communication, Community Outreach, Content Creation, Digital Marketing, Project Management, SEO, Teamwork, Time Management"
Video Making/Editing,BHeard,Mumbai,Immediately,6 Months,"₹ 8,000-15,000 /month","Adobe Premiere Pro, Creativity, Photography, Teamwork, Time Management, Video Editing"
Marketing,Hive Ads Media,Work From Home,Immediately,6 Months,"₹ 1,000 /month +  Incentives","Analytics, Communication, Content Creation, Digital Marketing, SEO, Teamwork, Time Management"
Digital Marketing,Unicornready,Bangalore,Immediately,6 Months,"₹ 10,000 /month","Analytics, Communication, Content Creation, Digital Marketing, SEO, Teamwork, Time Management"
Social Media Marketing,Pankaj  Chivte,Pune,Immediately,6 Months,"₹ 10,000 /month","Analytics, Communication, Community Outreach, Content Creation, Digital Marketing, Project Management, SEO, Teamwork, Time Management"
Search Engine Optimization (SEO),GreenDumbells,Work From Home,Immediately,6 Months,"₹ 1,000-5,000 /month","Teamwork, Time Management"
Media & Public Relations (PR),India People Blog,Work From Home,Immediately,6 Months,"₹ 3,000 /month","Teamwork, Time Management"
Sales Consultant,Yakun,Hyderabad,Immediately,6 Months,"₹ 10,000 /month","CRM, Communication, Lead Generation, Sales Strategy, Teamwork, Time Management"
WordPress Development,M/S Build My Website,Mohali,Immediately,6 Months,"₹ 7,500 /month","CSS, Git, HTML, JavaScript, Responsive Design, Teamwork, Time Management"
Sales,ChefKart,Work From Home,Immediately,6 Months,"₹ 10,000-15,000 /month","CRM, Communication, Lead Generation, Sales Strategy, Teamwork, Time Management"
Graphic Design,Lifez.fit,Gurgaon,Immediately,6 Months,"₹ 10,000 /month","Teamwork, Time Management"
Interior Design (6-month),Purpose DesignLife,Chandigarh,Immediately,6 Months,"₹ 2,000 /month +  Incentives","Teamwork, Time Management"
Social Media Marketing,Odetofuture Pvt Ltd,Gurgaon,Immediately,6 Months,"₹ 6,000-8,000 /month","Analytics, Communication, Community Outreach, Content Creation, Digital Marketing, Project Management, SEO, Teamwork, Time Management"
Search Engine Optimization (SEO),Quantum IT Innovation,Work From Home,Immediately,6 Months,"₹ 8,000-15,000 /month","Teamwork, Time Management"
Sales Consultant,Meraki Diaries (Avatar Travel And Hospitality Representative Services),Work From Home,Immediately,6 Months,"₹ 2,000 /month +  Incentives","CRM, Communication, Lead Generation, Sales Strategy, Teamwork, Time Management"
Social Media Marketing,Whitefield Network,Work From Home,Immediately,6 Months,"₹ 4,000 /month +  Incentives","Analytics, Communication, Community Outreach, Content Creation, Digital Marketing, Project Management, SEO, Teamwork, Time Management"
Social Media Marketing,Ace Blend,Mumbai,Immediately,6 Months,"₹ 5,000-10,000 /month","Analytics, Communication, Community Outreach, Content Creation, Digital Marketing, Project Management, SEO, Teamwork, Time Management"
Counselling Sessions With Children,Fatema Saify,Daman,Immediately,6 Months,"₹ 3,500 /month","Teamwork, Time Management"
Business Development,Returno Fintech Private Limited,Delhi,Immediately,6 Months,"₹ 2,500 /month","CSS, Git, HTML, JavaScript, Responsive Design, Teamwork, Time Management"
Full Stack Development,Upskillz,Jaipur,Immediately,6 Months,"₹ 10,000 /month","CSS, Git, HTML, JavaScript, Responsive Design, Teamwork, Time Management"
Content Writing,PeerXP Technologies,Work From Home,Immediately,6 Months,"₹ 4,000-5,000 /month","Teamwork, Time Management"
